cve_ent	cve_mun	munid	municipio	estado	nombre
30	38	50	Coatepec	Veracruz	Coatepec (Veracruz de Ignacio de la Llave)
3	1	51	Comondú	Baja California Sur	Comondú (Baja California Sur)
7	104	52	Tzimol	Chiapas	Tzimol (Chiapas)
14	21	53	Casimiro Castillo	Jalisco	Casimiro Castillo (Jalisco)
26	55	54	San Luis Río Colorado	Sonora	San Luis Río Colorado (Sonora)
13	70	55	Tlahuelilpan	Hidalgo	Tlahuelilpan (Hidalgo)
14	92	56	Teocuitatlán de Corona	Jalisco	Teocuitatlán de Corona (Jalisco)
18	9	57	Del Nayar	Nayarit	Del Nayar (Nayarit)
22	17	58	Tequisquiapan	Querétaro	Tequisquiapan (Querétaro)
17	15	59	Miacatlán	Morelos	Miacatlán (Morelos)
13	6	60	Alfajayucan	Hidalgo	Alfajayucan (Hidalgo)
15	13	61	Atizapán de Zaragoza	México	Atizapán de Zaragoza (México)
21	53	62	Chignahuapan	Puebla	Chignahuapan (Puebla)
29	55	63	San Lucas Tecopilco	Tlaxcala	San Lucas Tecopilco (Tlaxcala)
30	137	64	Los Reyes	Veracruz	Los Reyes (Veracruz de Ignacio de la Llave)
12	19	65	Copalillo	Guerrero	Copalillo (Guerrero)
20	311	66	San Pedro Jaltepetongo	Oaxaca	San Pedro Jaltepetongo (Oaxaca)
20	284	67	San Miguel Tilquiápam	Oaxaca	San Miguel Tilquiápam (Oaxaca)
12	1	68	Acapulco de Juárez	Guerrero	Acapulco de Juárez (Guerrero)
20	412	69	Santa María Guienagati	Oaxaca	Santa María Guienagati (Oaxaca)
31	8	70	Calotmul	Yucatán	Calotmul (Yucatán)
5	30	71	Saltillo	Coahuila	Saltillo (Coahuila de Zaragoza)
10	28	72	San Juan del Río	Durango	San Juan del Río (Durango)
15	44	73	Jaltenco	México	Jaltenco (México)
7	117	74	Montecristo de Guerrero	Chiapas	Montecristo de Guerrero (Chiapas)
9	4	75	Cuajimalpa de Morelos	Distrito Federal	Cuajimalpa de Morelos (Distrito Federal)
31	25	76	Dzán	Yucatán	Dzán (Yucatán)
14	108	77	Tuxpan	Jalisco	Tuxpan (Jalisco)
20	190	78	San Juan Cotzocón	Oaxaca	San Juan Cotzocón (Oaxaca)
30	22	79	Atzacan	Veracruz	Atzacan (Veracruz de Ignacio de la Llave)
7	35	80	Frontera Hidalgo	Chiapas	Frontera Hidalgo (Chiapas)
8	5	81	Ascensión	Chihuahua	Ascensión (Chihuahua)
7	60	82	Ocotepec	Chiapas	Ocotepec (Chiapas)
26	14	83	Baviácora	Sonora	Baviácora (Sonora)
21	8	84	Ahuazotepec	Puebla	Ahuazotepec (Puebla)
8	41	85	Maguarichi	Chihuahua	Maguarichi (Chihuahua)
30	207	86	Tres Valles	Veracruz	Tres Valles (Veracruz de Ignacio de la Llave)
20	1	87	Abejones	Oaxaca	Abejones (Oaxaca)
14	51	88	Juanacatlán	Jalisco	Juanacatlán (Jalisco)
32	58	89	Santa María de la Paz	Zacatecas	Santa María de la Paz (Zacatecas)
20	177	90	San Juan Bautista Cuicatlán	Oaxaca	San Juan Bautista Cuicatlán (Oaxaca)
20	557	91	Unión Hidalgo	Oaxaca	Unión Hidalgo (Oaxaca)
20	19	92	Concepción Pápalo	Oaxaca	Concepción Pápalo (Oaxaca)
7	93	93	Tenejapa	Chiapas	Tenejapa (Chiapas)
16	3	94	Álvaro Obregón	Michoacán	Álvaro Obregón (Michoacán de Ocampo)
15	62	95	Ocoyoacac	México	Ocoyoacac (México)
29	14	96	Hueyotlipan	Tlaxcala	Hueyotlipan (Tlaxcala)
20	463	97	Santiago Huauclilla	Oaxaca	Santiago Huauclilla (Oaxaca)
21	25	98	Ayotoxco de Guerrero	Puebla	Ayotoxco de Guerrero (Puebla)
30	50	99	Coxquihui	Veracruz	Coxquihui (Veracruz de Ignacio de la Llave)
15	31	100	Chimalhuacán	México	Chimalhuacán (México)
15	109	101	Tultitlán	México	Tultitlán (México)
31	21	102	Chichimilá	Yucatán	Chichimilá (Yucatán)
16	71	103	Puruándiro	Michoacán	Puruándiro (Michoacán de Ocampo)
30	211	104	San Rafael	Veracruz	San Rafael (Veracruz de Ignacio de la Llave)
28	14	105	Guerrero	Tamaulipas	Guerrero (Tamaulipas)
20	513	106	Santo Domingo Petapa	Oaxaca	Santo Domingo Petapa (Oaxaca)
30	128	107	Perote	Veracruz	Perote (Veracruz de Ignacio de la Llave)
21	197	108	Xicotepec	Puebla	Xicotepec (Puebla)
8	36	109	Jiménez	Chihuahua	Jiménez (Chihuahua)
25	12	110	Mazatlán	Sinaloa	Mazatlán (Sinaloa)
31	92	111	Tixcacalcupul	Yucatán	Tixcacalcupul (Yucatán)
20	457	112	Santiago Camotlán	Oaxaca	Santiago Camotlán (Oaxaca)
20	198	113	San Juan Guichicovi	Oaxaca	San Juan Guichicovi (Oaxaca)
18	7	114	Jala	Nayarit	Jala (Nayarit)
20	80	115	San Agustín Amatengo	Oaxaca	San Agustín Amatengo (Oaxaca)
24	58	116	El Naranjo	San Luis Potosí	El Naranjo (San Luis Potosí)
20	172	117	San Juan Achiutla	Oaxaca	San Juan Achiutla (Oaxaca)
27	5	118	Comalcalco	Tabasco	Comalcalco (Tabasco)
21	47	119	Chiautla	Puebla	Chiautla (Puebla)
21	136	120	San Miguel Xoxtla	Puebla	San Miguel Xoxtla (Puebla)
30	201	121	Zongolica	Veracruz	Zongolica (Veracruz de Ignacio de la Llave)
8	37	122	Juárez	Chihuahua	Juárez (Chihuahua)
21	92	123	Juan N. Méndez	Puebla	Juan N. Méndez (Puebla)
19	3	124	Los Aldamas	Nuevo León	Los Aldamas (Nuevo León)
10	4	125	Cuencamé	Durango	Cuencamé (Durango)
20	321	126	San Pedro Nopala	Oaxaca	San Pedro Nopala (Oaxaca)
21	21	127	Atzala	Puebla	Atzala (Puebla)
13	16	128	Cuautepec de Hinojosa	Hidalgo	Cuautepec de Hinojosa (Hidalgo)
31	47	129	Maní	Yucatán	Maní (Yucatán)
16	63	130	Panindícuaro	Michoacán	Panindícuaro (Michoacán de Ocampo)
17	12	131	Jojutla	Morelos	Jojutla (Morelos)
7	33	132	Francisco León	Chiapas	Francisco León (Chiapas)
21	189	133	Tochtepec	Puebla	Tochtepec (Puebla)
20	251	134	San Mateo Nejápam	Oaxaca	San Mateo Nejápam (Oaxaca)
14	53	135	Lagos de Moreno	Jalisco	Lagos de Moreno (Jalisco)
12	80	136	Juchitán	Guerrero	Juchitán (Guerrero)
30	89	137	Jáltipan	Veracruz	Jáltipan (Veracruz de Ignacio de la Llave)
20	348	138	San Sebastián Tecomaxtlahuaca	Oaxaca	San Sebastián Tecomaxtlahuaca (Oaxaca)
17	19	139	Tepalcingo	Morelos	Tepalcingo (Morelos)
20	191	140	San Juan Chicomezúchil	Oaxaca	San Juan Chicomezúchil (Oaxaca)
7	68	141	Pichucalco	Chiapas	Pichucalco (Chiapas)
17	1	142	Amacuzac	Morelos	Amacuzac (Morelos)
20	306	143	San Pedro el Alto	Oaxaca	San Pedro el Alto (Oaxaca)
8	11	144	Camargo	Chihuahua	Camargo (Chihuahua)
13	24	145	Huasca de Ocampo	Hidalgo	Huasca de Ocampo (Hidalgo)
24	51	146	Villa Hidalgo	San Luis Potosí	Villa Hidalgo (San Luis Potosí)
20	188	147	San Juan Colorado	Oaxaca	San Juan Colorado (Oaxaca)
21	73	148	Huehuetlán el Chico	Puebla	Huehuetlán el Chico (Puebla)
15	121	149	Cuautitlán Izcalli	México	Cuautitlán Izcalli (México)
5	38	150	Zaragoza	Coahuila	Zaragoza (Coahuila de Zaragoza)
20	228	151	San Lorenzo Cuaunecuiltitla	Oaxaca	San Lorenzo Cuaunecuiltitla (Oaxaca)
30	187	152	Tonayán	Veracruz	Tonayán (Veracruz de Ignacio de la Llave)
21	216	153	Zoquiapan	Puebla	Zoquiapan (Puebla)
15	39	154	Ixtapaluca	México	Ixtapaluca (México)
16	55	155	Múgica	Michoacán	Múgica (Michoacán de Ocampo)
20	331	156	San Pedro Tidaá	Oaxaca	San Pedro Tidaá (Oaxaca)
16	103	157	Venustiano Carranza	Michoacán	Venustiano Carranza (Michoacán de Ocampo)
13	77	158	Tulancingo de Bravo	Hidalgo	Tulancingo de Bravo (Hidalgo)
20	473	159	Santiago Laxopa	Oaxaca	Santiago Laxopa (Oaxaca)
32	53	160	Villa González Ortega	Zacatecas	Villa González Ortega (Zacatecas)
25	1	161	Ahome	Sinaloa	Ahome (Sinaloa)
31	73	162	Tahdziú	Yucatán	Tahdziú (Yucatán)
7	27	163	Chiapa de Corzo	Chiapas	Chiapa de Corzo (Chiapas)
21	213	164	Zihuateutla	Puebla	Zihuateutla (Puebla)
8	40	165	Madera	Chihuahua	Madera (Chihuahua)
15	95	166	Tepotzotlán	México	Tepotzotlán (México)
7	67	167	Pantepec	Chiapas	Pantepec (Chiapas)
20	286	168	San Miguel Tlacotepec	Oaxaca	San Miguel Tlacotepec (Oaxaca)
13	52	169	San Agustín Tlaxiaca	Hidalgo	San Agustín Tlaxiaca (Hidalgo)
29	59	170	Santa Cruz Quilehtla	Tlaxcala	Santa Cruz Quilehtla (Tlaxcala)
30	175	171	Tihuatlán	Veracruz	Tihuatlán (Veracruz de Ignacio de la Llave)
16	56	172	Nahuatzen	Michoacán	Nahuatzen (Michoacán de Ocampo)
15	104	173	Tlalnepantla de Baz	México	Tlalnepantla de Baz (México)
11	42	174	Valle de Santiago	Guanajuato	Valle de Santiago (Guanajuato)
24	53	175	Axtla de Terrazas	San Luis Potosí	Axtla de Terrazas (San Luis Potosí)
27	11	176	Jonuta	Tabasco	Jonuta (Tabasco)
18	6	177	Ixtlán del Río	Nayarit	Ixtlán del Río (Nayarit)
20	86	178	San Agustín Tlacotepec	Oaxaca	San Agustín Tlacotepec (Oaxaca)
13	61	179	Tepeapulco	Hidalgo	Tepeapulco (Hidalgo)
23	2	180	Felipe Carrillo Puerto	Quintana Roo	Felipe Carrillo Puerto (Quintana Roo)
20	127	181	San Cristóbal Amoltepec	Oaxaca	San Cristóbal Amoltepec (Oaxaca)
13	9	182	El Arenal	Hidalgo	El Arenal (Hidalgo)
26	59	183	Santa Cruz	Sonora	Santa Cruz (Sonora)
7	13	184	Bochil	Chiapas	Bochil (Chiapas)
20	442	185	Santa María Yalina	Oaxaca	Santa María Yalina (Oaxaca)
21	99	186	Cañada Morelos	Puebla	Cañada Morelos (Puebla)
31	17	187	Chankom	Yucatán	Chankom (Yucatán)
5	2	188	Acuña	Coahuila	Acuña (Coahuila de Zaragoza)
8	46	189	Morelos	Chihuahua	Morelos (Chihuahua)
30	65	190	Emiliano Zapata	Veracruz	Emiliano Zapata (Veracruz de Ignacio de la Llave)
20	12	191	Candelaria Loxicha	Oaxaca	Candelaria Loxicha (Oaxaca)
20	555	192	Trinidad Zaachila	Oaxaca	Trinidad Zaachila (Oaxaca)
21	110	193	Palmar de Bravo	Puebla	Palmar de Bravo (Puebla)
20	361	194	Santa Catalina Quierí	Oaxaca	Santa Catalina Quierí (Oaxaca)
10	34	195	Tamazula	Durango	Tamazula (Durango)
32	51	196	Villa de Cos	Zacatecas	Villa de Cos (Zacatecas)
14	58	197	Mascota	Jalisco	Mascota (Jalisco)
15	10	198	Apaxco	México	Apaxco (México)
7	48	199	Juárez	Chiapas	Juárez (Chiapas)
12	12	200	Ayutla de los Libres	Guerrero	Ayutla de los Libres (Guerrero)
21	17	201	Atempan	Puebla	Atempan (Puebla)
31	99	202	Uayma	Yucatán	Uayma (Yucatán)
11	15	203	Guanajuato	Guanajuato	Guanajuato (Guanajuato)
30	176	204	Tlacojalpan	Veracruz	Tlacojalpan (Veracruz de Ignacio de la Llave)
20	340	205	San Pedro y San Pablo Tequixtepec	Oaxaca	San Pedro y San Pablo Tequixtepec (Oaxaca)
30	159	206	Tehuipango	Veracruz	Tehuipango (Veracruz de Ignacio de la Llave)
24	25	207	Salinas	San Luis Potosí	Salinas (San Luis Potosí)
20	505	208	Santo Domingo Ingenio	Oaxaca	Santo Domingo Ingenio (Oaxaca)
21	204	209	Yaonáhuac	Puebla	Yaonáhuac (Puebla)
30	155	210	Tantoyuca	Veracruz	Tantoyuca (Veracruz de Ignacio de la Llave)
15	60	211	Nicolás Romero	México	Nicolás Romero (México)
20	195	212	San Juan Diuxi	Oaxaca	San Juan Diuxi (Oaxaca)
28	3	213	Altamira	Tamaulipas	Altamira (Tamaulipas)
20	173	214	San Juan Atepec	Oaxaca	San Juan Atepec (Oaxaca)
7	62	215	Ostuacán	Chiapas	Ostuacán (Chiapas)
15	93	216	Tepetlaoxtoc	México	Tepetlaoxtoc (México)
26	71	217	Benito Juárez	Sonora	Benito Juárez (Sonora)
20	352	218	San Simón Zahuatlán	Oaxaca	San Simón Zahuatlán (Oaxaca)
14	73	219	San Juan de los Lagos	Jalisco	San Juan de los Lagos (Jalisco)
20	76	220	La Reforma	Oaxaca	La Reforma (Oaxaca)
20	350	221	San Sebastián Tutla	Oaxaca	San Sebastián Tutla (Oaxaca)
30	140	222	San Andrés Tenejapan	Veracruz	San Andrés Tenejapan (Veracruz de Ignacio de la Llave)
24	8	223	Cerritos	San Luis Potosí	Cerritos (San Luis Potosí)
7	31	224	Chilón	Chiapas	Chilón (Chiapas)
7	109	225	Yajalón	Chiapas	Yajalón (Chiapas)
32	47	226	Teúl de González Ortega	Zacatecas	Teúl de González Ortega (Zacatecas)
8	20	227	Chínipas	Chihuahua	Chínipas (Chihuahua)
20	98	228	San Andrés Teotilálpam	Oaxaca	San Andrés Teotilálpam (Oaxaca)
2	4	229	Tijuana	Baja California	Tijuana (Baja California)
19	14	230	Doctor Arroyo	Nuevo León	Doctor Arroyo (Nuevo León)
32	21	231	Jiménez del Teul	Zacatecas	Jiménez del Teul (Zacatecas)
20	421	232	Santa María Mixtequilla	Oaxaca	Santa María Mixtequilla (Oaxaca)
15	117	233	Zacualpan	México	Zacualpan (México)
20	491	234	Santiago Textitlán	Oaxaca	Santiago Textitlán (Oaxaca)
22	8	235	Huimilpan	Querétaro	Huimilpan (Querétaro)
20	229	236	San Lorenzo Texmelúcan	Oaxaca	San Lorenzo Texmelúcan (Oaxaca)
20	84	237	San Agustín Etla	Oaxaca	San Agustín Etla (Oaxaca)
7	44	238	Ixtapa	Chiapas	Ixtapa (Chiapas)
15	35	239	Huehuetoca	México	Huehuetoca (México)
26	63	240	Tepache	Sonora	Tepache (Sonora)
13	54	241	San Salvador	Hidalgo	San Salvador (Hidalgo)
20	282	242	San Miguel Tenango	Oaxaca	San Miguel Tenango (Oaxaca)
12	76	243	Acatepec	Guerrero	Acatepec (Guerrero)
20	15	244	Coatecas Altas	Oaxaca	Coatecas Altas (Oaxaca)
20	94	245	San Andrés Nuxiño	Oaxaca	San Andrés Nuxiño (Oaxaca)
30	153	246	Tancoco	Veracruz	Tancoco (Veracruz de Ignacio de la Llave)
12	79	247	José Joaquín de Herrera	Guerrero	José Joaquín de Herrera (Guerrero)
30	174	248	Tierra Blanca	Veracruz	Tierra Blanca (Veracruz de Ignacio de la Llave)
4	11	249	Candelaria	Campeche	Candelaria (Campeche)
31	58	250	Peto	Yucatán	Peto (Yucatán)
30	30	251	Camerino Z. Mendoza	Veracruz	Camerino Z. Mendoza (Veracruz de Ignacio de la Llave)
18	16	252	Tecuala	Nayarit	Tecuala (Nayarit)
15	33	253	Ecatepec de Morelos	México	Ecatepec de Morelos (México)
30	157	254	Castillo de Teayo	Veracruz	Castillo de Teayo (Veracruz de Ignacio de la Llave)
21	149	255	Santiago Miahuatlán	Puebla	Santiago Miahuatlán (Puebla)
10	29	256	San Luis del Cordero	Durango	San Luis del Cordero (Durango)
24	21	257	Mexquitic de Carmona	San Luis Potosí	Mexquitic de Carmona (San Luis Potosí)
13	74	258	Tlaxcoapan	Hidalgo	Tlaxcoapan (Hidalgo)
13	64	259	Tepetitlán	Hidalgo	Tepetitlán (Hidalgo)
5	22	260	Nava	Coahuila	Nava (Coahuila de Zaragoza)
14	99	261	Tolimán	Jalisco	Tolimán (Jalisco)
12	42	262	Mártir de Cuilapan	Guerrero	Mártir de Cuilapan (Guerrero)
20	79	263	Salina Cruz	Oaxaca	Salina Cruz (Oaxaca)
26	3	264	Alamos	Sonora	Alamos (Sonora)
11	12	265	Cuerámaro	Guanajuato	Cuerámaro (Guanajuato)
30	200	266	Zentla	Veracruz	Zentla (Veracruz de Ignacio de la Llave)
20	268	267	San Miguel Ejutla	Oaxaca	San Miguel Ejutla (Oaxaca)
16	78	268	Santa Ana Maya	Michoacán	Santa Ana Maya (Michoacán de Ocampo)
8	18	269	Cusihuiriachi	Chihuahua	Cusihuiriachi (Chihuahua)
21	58	270	Chilchotla	Puebla	Chilchotla (Puebla)
24	47	271	Villa de Guadalupe	San Luis Potosí	Villa de Guadalupe (San Luis Potosí)
32	8	272	Cuauhtémoc	Zacatecas	Cuauhtémoc (Zacatecas)
20	391	273	Santa Lucía Miahuatlán	Oaxaca	Santa Lucía Miahuatlán (Oaxaca)
14	110	274	Unión de Tula	Jalisco	Unión de Tula (Jalisco)
30	119	275	Otatitlán	Veracruz	Otatitlán (Veracruz de Ignacio de la Llave)
6	8	276	Minatitlán	Colima	Minatitlán (Colima)
13	7	277	Almoloya	Hidalgo	Almoloya (Hidalgo)
21	209	278	Zapotitlán	Puebla	Zapotitlán (Puebla)
16	14	279	Coahuayana	Michoacán	Coahuayana (Michoacán de Ocampo)
12	15	280	Buenavista de Cuéllar	Guerrero	Buenavista de Cuéllar (Guerrero)
30	150	281	Tamalín	Veracruz	Tamalín (Veracruz de Ignacio de la Llave)
20	494	282	Santiago Tlazoyaltepec	Oaxaca	Santiago Tlazoyaltepec (Oaxaca)
14	17	283	Ayutla	Jalisco	Ayutla (Jalisco)
29	3	284	Atlangatepec	Tlaxcala	Atlangatepec (Tlaxcala)
20	42	285	Ixtlán de Juárez	Oaxaca	Ixtlán de Juárez (Oaxaca)
30	169	286	José Azueta	Veracruz	José Azueta (Veracruz de Ignacio de la Llave)
32	25	287	Luis Moya	Zacatecas	Luis Moya (Zacatecas)
29	12	288	Españita	Tlaxcala	Españita (Tlaxcala)
31	4	289	Baca	Yucatán	Baca (Yucatán)
20	245	290	San Martín Zacatepec	Oaxaca	San Martín Zacatepec (Oaxaca)
21	45	291	Chalchicomula de Sesma	Puebla	Chalchicomula de Sesma (Puebla)
21	100	292	Naupan	Puebla	Naupan (Puebla)
14	32	293	Chiquilistlán	Jalisco	Chiquilistlán (Jalisco)
20	368	294	Santa Catarina Minas	Oaxaca	Santa Catarina Minas (Oaxaca)
15	37	295	Huixquilucan	México	Huixquilucan (México)
26	12	296	Bácum	Sonora	Bácum (Sonora)
11	3	297	San Miguel de Allende	Guanajuato	San Miguel de Allende (Guanajuato)
20	385	298	Santa Cruz Xoxocotlán	Oaxaca	Santa Cruz Xoxocotlán (Oaxaca)
20	59	299	Miahuatlán de Porfirio Díaz	Oaxaca	Miahuatlán de Porfirio Díaz (Oaxaca)
20	399	300	Santa María Atzompa	Oaxaca	Santa María Atzompa (Oaxaca)
16	57	301	Nocupétaro	Michoacán	Nocupétaro (Michoacán de Ocampo)
20	342	302	San Raymundo Jalpan	Oaxaca	San Raymundo Jalpan (Oaxaca)
13	22	303	Epazoyucan	Hidalgo	Epazoyucan (Hidalgo)
9	8	304	La Magdalena Contreras	Distrito Federal	La Magdalena Contreras (Distrito Federal)
20	145	305	San Francisco Lachigoló	Oaxaca	San Francisco Lachigoló (Oaxaca)
31	100	306	Ucú	Yucatán	Ucú (Yucatán)
20	132	307	San Dionisio Ocotlán	Oaxaca	San Dionisio Ocotlán (Oaxaca)
31	45	308	Kopomá	Yucatán	Kopomá (Yucatán)
23	7	309	Lázaro Cárdenas	Quintana Roo	Lázaro Cárdenas (Quintana Roo)
21	4	310	Acatzingo	Puebla	Acatzingo (Puebla)
30	123	311	Pánuco	Veracruz	Pánuco (Veracruz de Ignacio de la Llave)
5	7	312	Cuatro Ciénegas	Coahuila	Cuatro Ciénegas (Coahuila de Zaragoza)
10	21	313	Peñón Blanco	Durango	Peñón Blanco (Durango)
24	29	314	San Martín Chalchicuautla	San Luis Potosí	San Martín Chalchicuautla (San Luis Potosí)
7	83	315	Socoltenango	Chiapas	Socoltenango (Chiapas)
20	308	316	San Pedro Huilotepec	Oaxaca	San Pedro Huilotepec (Oaxaca)
12	59	317	Tepecoacuilco de Trujano	Guerrero	Tepecoacuilco de Trujano (Guerrero)
15	107	318	Tonatico	México	Tonatico (México)
7	18	319	Coapilla	Chiapas	Coapilla (Chiapas)
13	50	320	Progreso de Obregón	Hidalgo	Progreso de Obregón (Hidalgo)
20	508	321	Santo Domingo Chihuitán	Oaxaca	Santo Domingo Chihuitán (Oaxaca)
15	36	322	Hueypoxtla	México	Hueypoxtla (México)
20	205	323	San Juan Lalana	Oaxaca	San Juan Lalana (Oaxaca)
21	85	324	Izúcar de Matamoros	Puebla	Izúcar de Matamoros (Puebla)
17	14	325	Mazatepec	Morelos	Mazatepec (Morelos)
20	170	326	San José Lachiguiri	Oaxaca	San José Lachiguiri (Oaxaca)
20	465	327	Santiago Ixcuintepec	Oaxaca	Santiago Ixcuintepec (Oaxaca)
7	118	328	San Andrés Duraznal	Chiapas	San Andrés Duraznal (Chiapas)
20	105	329	San Antonino Monte Verde	Oaxaca	San Antonino Monte Verde (Oaxaca)
16	102	330	Uruapan	Michoacán	Uruapan (Michoacán de Ocampo)
8	31	331	Guerrero	Chihuahua	Guerrero (Chihuahua)
21	28	332	Camocuautla	Puebla	Camocuautla (Puebla)
20	295	333	San Pablo Huixtepec	Oaxaca	San Pablo Huixtepec (Oaxaca)
30	91	334	Jesús Carranza	Veracruz	Jesús Carranza (Veracruz de Ignacio de la Llave)
32	29	335	Miguel Auza	Zacatecas	Miguel Auza (Zacatecas)
15	41	336	Ixtapan del Oro	México	Ixtapan del Oro (México)
16	96	337	Tumbiscatío	Michoacán	Tumbiscatío (Michoacán de Ocampo)
20	324	338	San Pedro Pochutla	Oaxaca	San Pedro Pochutla (Oaxaca)
20	243	339	San Martín Tilcajete	Oaxaca	San Martín Tilcajete (Oaxaca)
14	26	340	Concepción de Buenos Aires	Jalisco	Concepción de Buenos Aires (Jalisco)
21	113	341	Piaxtla	Puebla	Piaxtla (Puebla)
20	278	342	San Miguel Soyaltepec	Oaxaca	San Miguel Soyaltepec (Oaxaca)
14	72	343	San Diego de Alejandría	Jalisco	San Diego de Alejandría (Jalisco)
20	106	344	San Antonio Acutla	Oaxaca	San Antonio Acutla (Oaxaca)
8	62	345	Saucillo	Chihuahua	Saucillo (Chihuahua)
10	8	346	Guadalupe Victoria	Durango	Guadalupe Victoria (Durango)
31	28	347	Dzilam de Bravo	Yucatán	Dzilam de Bravo (Yucatán)
8	44	348	Matamoros	Chihuahua	Matamoros (Chihuahua)
7	101	349	Tuxtla Gutiérrez	Chiapas	Tuxtla Gutiérrez (Chiapas)
20	225	350	San Lorenzo	Oaxaca	San Lorenzo (Oaxaca)
3	3	351	La Paz	Baja California Sur	La Paz (Baja California Sur)
15	5	352	Almoloya de Juárez	México	Almoloya de Juárez (México)
31	85	353	Temozón	Yucatán	Temozón (Yucatán)
30	16	354	La Antigua	Veracruz	La Antigua (Veracruz de Ignacio de la Llave)
20	405	355	Villa de Chilapa de Díaz	Oaxaca	Villa de Chilapa de Díaz (Oaxaca)
7	20	356	La Concordia	Chiapas	La Concordia (Chiapas)
10	25	357	San Bernardo	Durango	San Bernardo (Durango)
20	353	358	Santa Ana	Oaxaca	Santa Ana (Oaxaca)
25	14	359	Rosario	Sinaloa	Rosario (Sinaloa)
20	253	360	San Mateo Piñas	Oaxaca	San Mateo Piñas (Oaxaca)
28	12	361	González	Tamaulipas	González (Tamaulipas)
7	87	362	Suchiate	Chiapas	Suchiate (Chiapas)
14	100	363	Tomatlán	Jalisco	Tomatlán (Jalisco)
14	45	364	Ixtlahuacán del Río	Jalisco	Ixtlahuacán del Río (Jalisco)
20	427	365	Santa María Petapa	Oaxaca	Santa María Petapa (Oaxaca)
