"gid"	"nombre"	"nombre_dec"	"tipo"	"entidad"	"fecha_dec"	"cat_orig"	"cat_dec"	"sub_catego"	"supha_dec"	"ha_orig"	"area_orig"	"perim_orig"	"mun_orig"	"mun_dec"	"mun_2010"	"fuente"	"decretos"	"cov_"	"cov_id"	"maxsimptol"	"minsimptol"	"anpestid"
"11"	"Balam-Kú"	""	"Estatal"	"Campeche"	"14/8/2003"	"Zona Estatal Sujeta a Conservación Ecológica"	"Zona Estatal Sujeta a Conservación Ecológica"	"Zona de amortiguamiento II"	"409200.0000"	"42221.0200"	"0.0000"	"0.0000"	"Sin dato"	"Calakmul"	"Calakmul, Candelaria y Escárcega"	"Red Nacional de Sistemas Estatales de ANP"	"0"	"10"	"11"	"50.00000000000"	"50.00000000000"	"11"
"243"	"Barranca del Río Santiago"	""	"Municipal"	"Jalisco"	"7/10/2004"	"Sin dato"	"Área Municipal de Protección Hidrológica"	"Centro"	"17729.9100"	"0.0000"	"9063.7610"	"0.0000"	"Zapopan"	"Zapopan"	"Zapopan"	"CIBIOGEM"	"1"	"242"	"243"	"1.56250000000"	"1.56250000000"	"248"
"33"	"Tzama Cun Pümy"	""	"Estatal"	"Chiapas"	"3/11/2006"	"Zona Sujeta a Conservación Ecológica"	"Zona Sujeta a Conservación Ecológica"	"Sin dato"	"101.4930"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Tapalapa"	"Tapalapa"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"32"	"33"	"50.00000000000"	"50.00000000000"	"12"
"12"	"Balam-Kú"	""	"Estatal"	"Campeche"	"14/8/2003"	"Zona Estatal Sujeta a Conservación Ecológica"	"Zona Estatal Sujeta a Conservación Ecológica"	"Zona núcleo I"	"409200.0000"	"100642.4600"	"0.0000"	"0.0000"	"Sin dato"	"Calakmul"	"Calakmul, Escárcega"	"Red Nacional de Sistemas Estatales de ANP"	"0"	"11"	"12"	"50.00000000000"	"50.00000000000"	"13"
"13"	"Balam-Kú"	""	"Estatal"	"Campeche"	"14/8/2003"	"Zona Estatal Sujeta a Conservación Ecológica"	"Zona Estatal Sujeta a Conservación Ecológica"	"Zona de amortiguamiento I"	"409200.0000"	"54652.5000"	"0.0000"	"0.0000"	"Sin dato"	"Calakmul"	"Calakmul, Escárcega"	"Red Nacional de Sistemas Estatales de ANP"	"0"	"12"	"13"	"50.00000000000"	"50.00000000000"	"14"
"14"	"Balam-Kú"	""	"Estatal"	"Campeche"	"14/8/2003"	"Zona Estatal Sujeta a Conservación Ecológica"	"Zona Estatal Sujeta a Conservación Ecológica"	"Zona de uso"	"409200.0000"	"149295.9000"	"0.0000"	"0.0000"	"Sin dato"	"Calakmul"	"Calakmul, Candelaria y Escárcega"	"Red Nacional de Sistemas Estatales de ANP"	"0"	"13"	"14"	"50.00000000000"	"50.00000000000"	"15"
"15"	"Cerro del Muerto"	""	"Estatal"	"Aguascalientes"	"26/5/2008"	"Monumento Natural"	"Monumento Natural"	"Sin dato"	"5862.0340"	"5862.0300"	"0.0000"	"0.0000"	"Sin dato"	"Aguascalientes, Jesús María"	"Aguascalientes, Jesús María"	"CIBIOGEM"	"1"	"14"	"15"	"50.00000000000"	"50.00000000000"	"16"
"16"	"Estero San José del Cabo"	"Estero de San José del Cabo"	"Estatal"	"Baja California Sur"	"4/4/2011"	"Zona Sujeta a Conservación Ecológica-Reserva Ecologica Estatal"	"Zona Sujeta a Conservación Ecológica"	"Sin dato"	"766.6840"	"467.5280"	"0.0000"	"0.0000"	"Sin dato"	"Los Cabos"	"Los Cabos"	"Participación Ambiental"	"2"	"15"	"16"	"50.00000000000"	"50.00000000000"	"17"
"17"	"Sierra Fría"	""	"Estatal"	"Aguascalientes"	"9/4/1995"	"Sujeta a Conservación Ecológica"	"Zona Sujeta a Conservación Ecológica"	"Sin dato"	"112090.0000"	"107055.1600"	"0.0000"	"0.0000"	"Sin dato"	"San José de Gracia, Rincón de Romos, Pabellón de Arteaga, Jesús María, Calvillo"	"Calvillo, Genaro Codina, Jesús María, Pabellón de Arteaga, Rincón de Romos, San José de Gracia, Tabasco, Villanueva"	"CIBIOGEM"	"1"	"16"	"17"	"50.00000000000"	"50.00000000000"	"18"
"41"	"El Cabildo Amatal"	""	"Estatal"	"Chiapas"	"16/6/1999"	"Zona Sujeta a Conservación Ecológica"	"Zona Sujeta a Conservación Ecológica"	"Sin dato"	"3610.8750"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Mazatán, Tapachula"	"Mazatán, Tapachula"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"40"	"41"	"50.00000000000"	"50.00000000000"	"43"
"18"	"El Gancho Murillo"	""	"Estatal"	"Chiapas"	"16/6/1999"	"Zona Sujeta a Conservación Ecológica"	"Zona Sujeta a Conservación Ecológica"	"Sin dato"	"7284.4100"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Suchiate, Tapachula"	"Suchiate, Tapachula"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"17"	"18"	"50.00000000000"	"50.00000000000"	"19"
"19"	"Cerro Meyapac"	""	"Estatal"	"Chiapas"	"15/11/2006"	"Zona Sujeta a Conservación Ecológica"	"Zona Sujeta a Conservación Ecológica"	"Sin dato"	"1741.6266"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Ocozocoautla de Espinosa"	"Berriozábal, Ocozocoautla de Espinosa"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"18"	"19"	"50.00000000000"	"50.00000000000"	"20"
"20"	"Cordón Pico El Loro-Paxtal"	""	"Estatal"	"Chiapas"	"22/11/2000"	"Zona Sujeta a Conservación Ecológica"	"Zona Sujeta a Conservación Ecológica"	"Sin dato"	"61268.3400"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Escuintla, Siltepec, El Porvenir, Ángel Albino Corzo, Motozintla, Acacoyagua, Mapastepec"	"Acacoyagua, Angel Albino Corzo, Escuintla, Montecristo de Guerrero, Motozintla, Siltepec"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"19"	"20"	"50.00000000000"	"50.00000000000"	"21"
"21"	"El Canelar"	""	"Estatal"	"Chiapas"	"2/8/1995"	"Zona Sujeta a Conservación Ecológica"	"Zona Sujeta a Conservación Ecológica"	"Sin dato"	"89.1990"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Acalá"	"Acala"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"20"	"21"	"50.00000000000"	"50.00000000000"	"22"
"22"	"El Recreo"	""	"Estatal"	"Chiapas"	"13/3/1996"	"Zona Sujeta a Conservación Ecológica"	"Zona Sujeta a Conservación Ecológica"	"Sin dato"	"45.0211"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Teopisca"	"Teopisca"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"21"	"22"	"50.00000000000"	"50.00000000000"	"23"
"23"	"Finca Santa Ana"	""	"Estatal"	"Chiapas"	"19/6/1996"	"Zona Sujeta a Conservación Ecológica"	"Zona Sujeta a Conservación Ecológica"	"Sin dato"	"504.1547"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Pichucalco"	"Pichucalco"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"22"	"23"	"50.00000000000"	"50.00000000000"	"24"
"24"	"Reserva Biótica Gertrude Duby"	""	"Estatal"	"Chiapas"	"6/7/1994"	"Zona Sujeta a Conservación Ecológica"	"Zona Sujeta a Conservación Ecológica"	"Sin dato"	"102.6647"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"San Cristóbal de las Casas"	"San Cristóbal de las Casas"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"23"	"24"	"50.00000000000"	"50.00000000000"	"25"
"25"	"Huitepec-Los Alcanfores"	""	"Estatal"	"Chiapas"	"7/3/2007"	"Zona Sujeta a Conservación Ecológica"	"Zona Sujeta a Conservación Ecológica"	"Sin dato"	"102.8173"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"San Cristóbal de las Casas"	"San Cristóbal de las Casas"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"24"	"25"	"50.00000000000"	"50.00000000000"	"26"
"26"	"Humedales de Montaña La Kisst"	""	"Estatal"	"Chiapas"	"22/3/2011"	"Zona Sujeta a Conservación Ecológica"	"Zona Sujeta a Conservación Ecológica"	"Sin dato"	"110.1360"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"San Cristóbal de las Casas"	"San Cristóbal de las Casas"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"25"	"26"	"50.00000000000"	"50.00000000000"	"27"
"27"	"Humedales de Montaña María Eugenia"	""	"Estatal"	"Chiapas"	"1/2/2008"	"Zona Sujeta a Conservación Ecológica"	"Zona Sujeta a Conservación Ecológica"	"Sin dato"	"115.2130"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"San Cristóbal de las Casas"	"San Cristóbal de las Casas"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"26"	"27"	"50.00000000000"	"50.00000000000"	"28"
"46"	"Bosque Urbano"	"Bosque Urbano Ejército Mexicano"	"Estatal"	"Coahuila"	"22/11/2013"	"Sin dato"	"Parque Estatal"	"Sin dato"	"3.4223"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Saltillo"	"Saltillo"	"Gobierno del  Estado"	"1"	"45"	"46"	"50.00000000000"	"50.00000000000"	"29"
"28"	"Humedales La Libertad"	""	"Estatal"	"Chiapas"	"3/11/2006"	"Zona Sujeta a Conservación Ecológica"	"Zona Sujeta a Conservación Ecológica"	"Sin dato"	"5432.3700"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"La Libertad"	"Emiliano Zapata, La Libertad"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"27"	"28"	"50.00000000000"	"50.00000000000"	"30"
"29"	"La Pera"	""	"Estatal"	"Chiapas"	"15/11/2006"	"Zona Sujeta a Conservación Ecológica"	"Zona Sujeta a Conservación Ecológica"	"Sin dato"	"7506.6100"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Berriozábal"	"Berriozábal"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"28"	"29"	"50.00000000000"	"50.00000000000"	"31"
"30"	"Laguna Bélgica"	""	"Estatal"	"Chiapas"	"19/6/1996"	"Zona Sujeta a Conservación Ecológica"	"Zona Sujeta a Conservación Ecológica"	"Sin dato"	"42.0000"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Ocozocoautla"	"Ocozocoautla de Espinosa"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"29"	"30"	"50.00000000000"	"50.00000000000"	"32"
"31"	"Rancho Nuevo"	""	"Estatal"	"Chiapas"	"28/3/1990"	"Zona Sujeta a Conservación Ecológica"	"Zona Sujeta a Conservación Ecológica"	"Sin dato"	"1693.4161"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"San Cristóbal de las Casas"	"San Cristóbal de las Casas, Teopisca"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"30"	"31"	"50.00000000000"	"50.00000000000"	"33"
"48"	"Bosque Urbano"	"Bosque Urbano Ejército Mexicano"	"Estatal"	"Coahuila"	"22/11/2013"	"Sin dato"	"Parque Estatal"	"Sin dato"	"4.2330"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Saltillo"	"Saltillo"	"Gobierno del  Estado"	"1"	"47"	"48"	"50.00000000000"	"50.00000000000"	"48"
"49"	"Bosque Urbano"	"Bosque Urbano Ejército Mexicano"	"Estatal"	"Coahuila"	"22/11/2013"	"Sin dato"	"Parque Estatal"	"Sin dato"	"13.6247"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Saltillo"	"Saltillo"	"Gobierno del  Estado"	"1"	"48"	"49"	"50.00000000000"	"50.00000000000"	"49"
"50"	"Bosque Urbano"	"Bosque Urbano Ejército Mexicano"	"Estatal"	"Coahuila"	"22/11/2013"	"Sin dato"	"Parque Estatal"	"Sin dato"	"9.0945"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Saltillo"	"Saltillo"	"Gobierno del  Estado"	"1"	"49"	"50"	"50.00000000000"	"25.00000000000"	"50"
"51"	"El Tulillo"	""	"Estatal"	"Coahuila"	"26/11/2013"	"Sin dato"	"Área Destinada a la Preservación de los Ecosistemas y su Biodiversidad de Iniciativa Voluntaria"	"Lote 4"	"69.4452"	"27.5200"	"0.0000"	"0.0000"	"Sin dato"	"General Cepeda"	"General Cepeda"	"Gobierno del  Estado"	"1"	"50"	"51"	"50.00000000000"	"50.00000000000"	"51"
"32"	"Sistema Lagunar Catazajá"	""	"Estatal"	"Chiapas"	"3/11/2006"	"Zona Sujeta a Conservación Ecológica"	"Zona Sujeta a Conservación Ecológica"	"Sin dato"	"41058.7700"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Playas de Catazajá"	"Catazajá, Emiliano Zapata, Jonuta, Palenque"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"31"	"32"	"50.00000000000"	"50.00000000000"	"34"
"47"	"Bosque Urbano"	"Bosque Urbano Ejército Mexicano"	"Estatal"	"Coahuila"	"22/11/2013"	"Sin dato"	"Parque Estatal"	"Sin dato"	"15.0309"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Saltillo"	"Saltillo"	"Gobierno del  Estado"	"1"	"46"	"47"	"50.00000000000"	"50.00000000000"	"35"
"34"	"Volcán Tacaná"	""	"Estatal"	"Chiapas"	"11/10/2000"	"Zona Sujeta a Conservación Ecológica"	"Zona Sujeta a Conservación Ecológica"	"Sin dato"	"10639.1900"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Tapachula, Unión Juárez, Cacahoatán"	"Cacahoatán, Tapachula, Unión Juárez"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"33"	"34"	"50.00000000000"	"50.00000000000"	"36"
"35"	"La Lluvia"	""	"Estatal"	"Chiapas"	"7/6/2000"	"Reserva Estatal"	"Reserva Estatal"	"Sin dato"	"106.7365"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Villaflores"	"Villaflores"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"34"	"35"	"50.00000000000"	"50.00000000000"	"37"
"36"	"Cerro Mactumatzá"	""	"Estatal"	"Chiapas"	"16/7/1997"	"Reserva Estatal"	"Reserva Estatal"	"Sin dato"	"613.7000"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Tuxtla Gutiérrez"	"Tuxtla Gutiérrez"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"35"	"36"	"50.00000000000"	"50.00000000000"	"38"
"37"	"La Primavera"	""	"Estatal"	"Chiapas"	"13/12/2000"	"Parque Estatal"	"Parque Estatal"	"Sin dato"	"37.1306"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Comitán"	"Comitán de Domínguez"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"36"	"37"	"50.00000000000"	"50.00000000000"	"39"
"38"	"El Zapotal"	""	"Estatal"	"Chiapas"	"19/9/1990"	"Centro Ecológico Recreativo"	"Centro Ecológico Recreativo"	"Sin dato"	"92.5731"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Tuxtla Gutiérrez"	"Tuxtla Gutiérrez"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"37"	"38"	"50.00000000000"	"50.00000000000"	"40"
"39"	"La Concordia Zaragoza"	""	"Estatal"	"Chiapas"	"24/5/1972"	"Área Natural Típica"	"Área Natural Típica"	"Sin dato"	"0.0000"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"La Concordia"	"Angel Albino Corzo, La Concordia"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"38"	"39"	"50.00000000000"	"50.00000000000"	"41"
"40"	"Bosques de Coníferas Chanal"	""	"Estatal"	"Chiapas"	"24/5/1972"	"Área Natural Típica"	"Área Natural Típica"	"Sin dato"	"0.0000"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Chanal"	"Chanal, Las Margaritas"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"39"	"40"	"50.00000000000"	"50.00000000000"	"42"
"52"	"El Tulillo"	""	"Estatal"	"Coahuila"	"26/11/2013"	"Sin dato"	"Área Destinada a la Preservación de los Ecosistemas y su Biodiversidad de Iniciativa Voluntaria"	"Lote 2"	"69.4452"	"23.5400"	"0.0000"	"0.0000"	"Sin dato"	"General Cepeda"	"General Cepeda"	"Gobierno del  Estado"	"1"	"51"	"52"	"50.00000000000"	"50.00000000000"	"52"
"43"	"Sierra y Cañón de Jimulco"	""	"Municipal"	"Coahuila"	"27/6/2003"	"ANP y Reserva Ecológica"	"Reserva Ecológica Municipal"	"Sin dato"	"60458.2600"	"60401.3690"	"0.0000"	"0.0000"	"Sin dato"	"Torreón"	"General Simón Bolívar,  Torreón, Viesca"	"Gobierno del  Estado"	"1"	"42"	"43"	"50.00000000000"	"50.00000000000"	"44"
"44"	"Villas de Bilbao"	"Villa de Bilbao"	"Estatal"	"Coahuila"	"17/6/2014"	"Sin dato"	"Área Destinada a la Preservación de los Ecosistemas y su Biodiversidad de Iniciativa Voluntaria"	"Sin dato"	"21000.9400"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Viesca"	"Viesca"	"Gobierno del  Estado"	"1"	"43"	"44"	"50.00000000000"	"50.00000000000"	"45"
"53"	"El Tulillo"	""	"Estatal"	"Coahuila"	"26/11/2013"	"Sin dato"	"Área Destinada a la Preservación de los Ecosistemas y su Biodiversidad de Iniciativa Voluntaria"	"Lote 15a"	"69.4452"	"18.0000"	"0.0000"	"0.0000"	"Sin dato"	"General Cepeda"	"General Cepeda, Ramos Arizpe"	"Gobierno del  Estado"	"1"	"52"	"53"	"50.00000000000"	"50.00000000000"	"53"
"54"	"Tomás Garrido"	""	"Estatal"	"Coahuila"	"17/6/2014"	"Sin dato"	"Área Destinada a la Preservación de los Ecosistemas y su Biodiversidad de Iniciativa Voluntaria"	"Sin dato"	"16206.1600"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Viesca"	"Mazapil, San Juan de Guadalupe, Viesca"	"Gobierno del  Estado"	"1"	"53"	"54"	"50.00000000000"	"50.00000000000"	"54"
"60"	"El Nanchal"	""	"Estatal"	"Guerrero"	"16/2/2010"	"Sin dato"	"Reserva Estatal"	"Sin dato"	"1383.4000"	"0.0000"	"13834088.4100"	"0.0000"	"Sin dato"	"Chilpancingo de los Bravo"	"Chilpancingo de los Bravo, Coyuca de Benítez"	"Gobierno del  Estado"	"1"	"59"	"60"	"50.00000000000"	"50.00000000000"	"60"
"61"	"El Limón"	""	"Estatal"	"Guerrero"	"7/12/2011"	"Sin dato"	"Parque Estatal"	"Sin dato"	"86.8400"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Zihuatanejo de Azueta"	"Zihuatanejo de Azueta"	"Gobierno del  Estado"	"1"	"60"	"61"	"50.00000000000"	"50.00000000000"	"61"
"62"	"Cerro de Arandas"	""	"Estatal"	"Guanajuato"	"25/11/2005"	"Uso Sustentable"	"Área de Uso Sustentable"	"Sin dato"	"5240.1502"	"4816.2612"	"0.0000"	"0.0000"	"Irapuato"	"Irapuato"	"Irapuato"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"61"	"62"	"50.00000000000"	"50.00000000000"	"62"
"69"	"Lago Cráter La Joya"	"Lago-Cráter La Joya"	"Estatal"	"Guanajuato"	"23/2/2001"	"Parque Ecológico"	"Parque Ecológico"	"Sin dato"	"1479.0000"	"1479.0160"	"0.0000"	"0.0000"	"Yuriria"	"Yuriria"	"Yuriria"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"68"	"69"	"50.00000000000"	"50.00000000000"	"73"
"146"	"Bosques de las Lomas"	""	"Estatal"	"Distrito Federal"	"10/8/1994"	"Zona Sujeta a Conservación Ecológica"	"Zona Sujeta a Conservación Ecológica"	"Sin dato"	"26.4000"	"0.2440"	"0.0000"	"0.0000"	"Sin dato"	"Delegación Miguel Hidalgo"	"Miguel Hidalgo"	"Participación Ambiental"	"1"	"145"	"146"	"50.00000000000"	"50.00000000000"	"148"
"42"	"Serranía de Zapalinamé"	""	"Estatal"	"Coahuila"	"9/5/2008"	"Zona Sujeta a Conservación"	"Zona Sujeta a Conservación Ecológica"	"Sin dato"	"25384.3800"	"25125.1150"	"0.0000"	"0.0000"	"Sin dato"	"Saltillo, Arteaga"	"Arteaga, Saltillo"	"Gobierno del  Estado"	"2"	"41"	"42"	"50.00000000000"	"0.09765625000"	"46"
"45"	"Bosque Urbano"	"Bosque Urbano Ejército Mexicano"	"Estatal"	"Coahuila"	"22/11/2013"	"Sin dato"	"Parque Estatal"	"Sin dato"	"5.9985"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Saltillo"	"Saltillo"	"Gobierno del  Estado"	"1"	"44"	"45"	"50.00000000000"	"50.00000000000"	"47"
"55"	"Zona de Restauración Zapalinamé"	""	"Estatal"	"Coahuila"	"17/7/2007"	"Sin dato"	"Zona Sujeta a Conservación Ecológica"	"Sin dato"	"1966.8090"	"1084.7420"	"0.0000"	"0.0000"	"Sin dato"	"Saltillo, Arteaga"	"Arteaga, Saltillo"	"Gobierno del  Estado"	"2"	"54"	"55"	"50.00000000000"	"0.09765625000"	"55"
"56"	"Zona de Restauración Zapalinamé"	""	"Estatal"	"Coahuila"	"17/7/2007"	"Sin dato"	"Zona Sujeta a Conservación Ecológica"	"Sin dato"	"1966.8090"	"742.3120"	"0.0000"	"0.0000"	"Sin dato"	"Saltillo, Arteaga"	"Saltillo"	"Gobierno del  Estado"	"2"	"55"	"56"	"50.00000000000"	"0.39062500000"	"56"
"57"	"El Pericón"	""	"Estatal"	"Guerrero"	"19/2/2010"	"Sin dato"	"Reserva Estatal"	"Sin dato"	"369.7800"	"0.0000"	"0.0000"	"0.0000"	"Sin dato"	"Huitzuco de los Figueroa"	"Huitzuco de los Figueroa"	"Gobierno del  Estado"	"1"	"56"	"57"	"50.00000000000"	"50.00000000000"	"57"
"58"	"Bicentenario"	""	"Estatal"	"Guerrero"	"12/11/2010"	"Sin dato"	"Parque Estatal"	"Sin dato"	"304918.0200"	"0.0000"	"304846.7300"	"3326.1679"	"Sin dato"	"Acapulco de Juárez"	"Acapulco de Juárez"	"Gobierno del  Estado"	"1"	"57"	"58"	"50.00000000000"	"50.00000000000"	"58"
"59"	"Los Olivos"	""	"Estatal"	"Guerrero"	"26/2/2010"	"Sin dato"	"Reserva Estatal"	"Sin dato"	"1243.7700"	"0.0000"	"12437737.7400"	"0.0000"	"Sin dato"	"Chilpancingo de los Bravo"	"Chilpancingo de los Bravo"	"Gobierno del  Estado"	"1"	"58"	"59"	"50.00000000000"	"50.00000000000"	"59"
"77"	"Peña Alta"	""	"Estatal"	"Guanajuato"	"6/6/2000"	"Uso Sustentable"	"Área de Uso Sustentable"	"Sin dato"	"13270.1730"	"13271.2180"	"0.0000"	"0.0000"	"San Diego de la Unión"	"San Diego de la Unión"	"San Diego de la Unión, San Felipe"	"Red Nacional de Sistemas Estatales de ANP"	"1"	"76"	"77"	"50.00000000000"	"50.00000000000"	"63"
